,Decoding Accuracy
930,0.5217514124293785
931,0.47909604519774013
932,0.5649717514124294
933,0.4966101694915254
934,0.5070621468926554
935,0.43163841807909603
936,0.4689265536723164
937,0.5621468926553672
938,0.5005649717514125
939,0.4692090395480226
940,0.6036723163841808
941,0.43050847457627117
942,0.5771186440677966
943,0.5672316384180791
944,0.47711864406779664
945,0.5353107344632768
946,0.42570621468926556
947,0.4957627118644068
948,0.5370056497175141
949,0.5624293785310734
950,0.4909604519774011
951,0.5048022598870057
952,0.5240112994350282
953,0.5194915254237288
954,0.4810734463276836
955,0.4903954802259887
956,0.4963276836158192
957,0.49350282485875707
958,0.5112994350282486
959,0.46016949152542375
960,0.5666666666666667
961,0.5163841807909605
962,0.5141242937853108
963,0.4887005649717514
964,0.5384180790960452
965,0.4641242937853107
966,0.48926553672316386
967,0.5799435028248587
968,0.5028248587570622
969,0.4443502824858757
970,0.5505649717514124
971,0.5251412429378531
972,0.5457627118644067
973,0.49830508474576274
974,0.47627118644067795
975,0.42627118644067796
976,0.4903954802259887
977,0.5398305084745763
978,0.5234463276836158
979,0.46271186440677964
980,0.4364406779661017
981,0.4194915254237288
982,0.46016949152542375
983,0.5316384180790961
984,0.4559322033898305
985,0.461864406779661
986,0.5437853107344632
987,0.4943502824858757
988,0.45028248587570624
989,0.4850282485875706
990,0.44519774011299434
991,0.5867231638418079
992,0.5576271186440678
993,0.4853107344632768
994,0.47429378531073446
995,0.5251412429378531
996,0.4669491525423729
997,0.5327683615819209
998,0.4788135593220339
999,0.4915254237288136
1000,0.5901129943502825
1001,0.5211864406779662
1002,0.5463276836158192
1003,0.5036723163841808
1004,0.5186440677966102
1005,0.496045197740113
1006,0.5180790960451978
1007,0.5268361581920904
1008,0.5081920903954802
1009,0.5754237288135593
1010,0.5384180790960452
1011,0.5048022598870057
1012,0.5418079096045197
1013,0.5711864406779661
1014,0.40423728813559323
1015,0.5488700564971751
1016,0.5248587570621469
1017,0.3649717514124294
1018,0.4765536723163842
1019,0.4214689265536723
1020,0.4483050847457627
1021,0.4615819209039548
1022,0.48757062146892655
1023,0.47372881355932206
1024,0.5141242937853108
1025,0.45282485875706213
1026,0.4915254237288136
1027,0.45084745762711864
1028,0.47966101694915253
1029,0.5175141242937853
1030,0.48926553672316386
1031,0.5717514124293785
1032,0.5672316384180791
1033,0.5225988700564972
1034,0.5161016949152543
1035,0.4994350282485876
1036,0.5087570621468926
1037,0.5483050847457627
1038,0.5333333333333333
1039,0.5296610169491526
1040,0.514406779661017
1041,0.4711864406779661
1042,0.4655367231638418
1043,0.557909604519774
1044,0.5412429378531074
1045,0.5242937853107345
1046,0.4711864406779661
1047,0.4638418079096045
1048,0.5259887005649717
1049,0.581638418079096
1050,0.5468926553672316
1051,0.4138418079096045
1052,0.5288135593220339
1053,0.5296610169491526
1054,0.503954802259887
1055,0.5169491525423728
1056,0.4850282485875706
1057,0.5053672316384181
1058,0.49887005649717514
1059,0.5319209039548023
1060,0.4985875706214689
1061,0.5282485875706214
1062,0.4929378531073446
1063,0.48559322033898306
1064,0.47231638418079097
1065,0.46016949152542375
1066,0.49887005649717514
1067,0.5293785310734463
1068,0.5573446327683615
1069,0.4822033898305085
1070,0.5033898305084745
1071,0.4615819209039548
1072,0.5242937853107345
1073,0.4675141242937853
1074,0.5076271186440678
1075,0.5508474576271186
1076,0.5107344632768361
1077,0.4725988700564972
1078,0.5666666666666667
1079,0.5358757062146893
1080,0.45112994350282487
1081,0.4612994350282486
1082,0.5514124293785311
1083,0.48926553672316386
1084,0.523728813559322
1085,0.4878531073446328
1086,0.4274011299435028
1087,0.49548022598870056
1088,0.4692090395480226
1089,0.5107344632768361
1090,0.5048022598870057
1091,0.5573446327683615
1092,0.4454802259887006
1093,0.556497175141243
1094,0.5545197740112995
1095,0.42824858757062145
1096,0.49830508474576274
1097,0.5406779661016949
1098,0.5064971751412429
1099,0.5033898305084745
1100,0.4929378531073446
1101,0.49915254237288137
1102,0.5064971751412429
1103,0.49322033898305084
1104,0.4748587570621469
1105,0.44887005649717515
1106,0.501412429378531
1107,0.5121468926553673
1108,0.4985875706214689
1109,0.4793785310734463
1110,0.5098870056497176
1111,0.5793785310734463
1112,0.4903954802259887
1113,0.5073446327683616
1114,0.5745762711864407
1115,0.5403954802259887
1116,0.4878531073446328
1117,0.4661016949152542
1118,0.535593220338983
1119,0.5553672316384181
1120,0.5008474576271187
1121,0.4632768361581921
1122,0.5387005649717514
1123,0.4536723163841808
1124,0.5901129943502825
1125,0.4957627118644068
1126,0.5180790960451978
1127,0.4940677966101695
1128,0.3946327683615819
1129,0.5338983050847458
1130,0.5418079096045197
1131,0.48954802259887004
1132,0.5262711864406779
1133,0.5081920903954802
1134,0.5807909604519774
1135,0.5028248587570622
1136,0.4759887005649718
1137,0.598587570621469
1138,0.5285310734463277
1139,0.5892655367231638
1140,0.5435028248587571
1141,0.5149717514124293
1142,0.5423728813559322
1143,0.43954802259887005
1144,0.46864406779661016
1145,0.5426553672316384
1146,0.5567796610169492
1147,0.5135593220338983
1148,0.5581920903954802
1149,0.5073446327683616
1150,0.4867231638418079
1151,0.4858757062146893
1152,0.4867231638418079
1153,0.4641242937853107
1154,0.44152542372881354
1155,0.522316384180791
1156,0.523728813559322
1157,0.49519774011299433
1158,0.4810734463276836
1159,0.4661016949152542
1160,0.4827683615819209
1161,0.46214689265536724
1162,0.5019774011299435
1163,0.4751412429378531
1164,0.4807909604519774
1165,0.47909604519774013
1166,0.5361581920903955
1167,0.4288135593220339
1168,0.5081920903954802
1169,0.5217514124293785
1170,0.5135593220338983
1171,0.5884180790960452
1172,0.4703389830508475
1173,0.4977401129943503
1174,0.46073446327683615
1175,0.5155367231638418
1176,0.4909604519774011
1177,0.49463276836158193
1178,0.48333333333333334
1179,0.44745762711864406
1180,0.5398305084745763
1181,0.5423728813559322
1182,0.4209039548022599
1183,0.48389830508474574
1184,0.4971751412429379
1185,0.48389830508474574
1186,0.47796610169491527
1187,0.5324858757062146
1188,0.5112994350282486
1189,0.4822033898305085
1190,0.5415254237288135
1191,0.5370056497175141
1192,0.5194915254237288
1193,0.496045197740113
1194,0.5107344632768361
1195,0.5206214689265537
1196,0.47627118644067795
1197,0.5192090395480226
1198,0.44661016949152543
1199,0.502542372881356
1200,0.5084745762711864
1201,0.4661016949152542
1202,0.5446327683615819
1203,0.4731638418079096
1204,0.43333333333333335
1205,0.47627118644067795
1206,0.45225988700564973
1207,0.5248587570621469
1208,0.5048022598870057
1209,0.4661016949152542
1210,0.5274011299435029
1211,0.5200564971751412
1212,0.4878531073446328
1213,0.47429378531073446
1214,0.4576271186440678
1215,0.5132768361581921
1216,0.5279661016949152
1217,0.4937853107344633
1218,0.4505649717514124
1219,0.5310734463276836
1220,0.4172316384180791
1221,0.522316384180791
1222,0.5087570621468926
1223,0.4709039548022599
1224,0.5161016949152543
1225,0.4641242937853107
1226,0.4768361581920904
1227,0.43898305084745765
1228,0.4957627118644068
1229,0.5008474576271187
1230,0.4689265536723164
1231,0.4491525423728814
1232,0.45875706214689266
1233,0.47994350282485876
1234,0.5093220338983051
1235,0.5276836158192091
1236,0.47768361581920904
1237,0.5358757062146893
1238,0.4711864406779661
1239,0.5050847457627119
1240,0.46242937853107347
1241,0.49519774011299433
1242,0.43192090395480226
1243,0.5336158192090396
1244,0.4830508474576271
1245,0.5129943502824859
1246,0.45875706214689266
1247,0.4392655367231638
1248,0.5627118644067797
1249,0.4692090395480226
1250,0.47203389830508474
1251,0.596045197740113
1252,0.4717514124293785
1253,0.4166666666666667
